ID,TOTAL_MVM,NAZICO,OBEC,OD_VER_V,UPOV_ID
320303_POD,51.435,VOSS podzemní zdroj Šindelová- Obora,Šindelová,8.525,OHL_0290
320303_POV,0.536,VOSS Podstrání,Rovná,0.536,OHL_0310
320304_POD,11.831,"Vak Březová Kamenice S1,2",Březová,3.751,OHL_0260
320310_POD,3004.918,VOSS zdroje pro Oloví,Sokolov,57.258,OHL_0300
320310_POD,3004.918,VOSS zdroje pro Oloví,Sokolov,57.258,OHL_0380
320315_POD,384.225,VOSS Stříbrná  - prameniště,Stříbrná,11.794,OHL_0280
320316_POD,39.656,VOSS Stříbrná - vrt 2020,Stříbrná,5.734,OHL_0290
320316_POD,39.656,VOSS Stříbrná - vrt 2020,Stříbrná,5.734,OHL_0280
320331_POD,0.748,VOSS studna Nadlesí,Loket,0.748,OHL_0320
320650_POV,1335.041,Immogard s.r.o  Libavské Údolí,Libavské Údolí,,OHL_0250
320840_POV,33184.535,"Synthomer, a.s. Sokolov",Sokolov,0.0,OHL_0380
320910_POV,605.549,SU - úpravna a třídírna uhlí Tisová,Březová,,OHL_0270
321090_POD,89.806,Betonárka Sadov,Sadov,,OHL_0470
321180_POD,249.378,Obec Vysoká Pec-pramenní jímka,Vysoká Pec,31.844,OHL_0350
321250_POD,3167.4,"KMS Kraslice-Hraničná,Staré Údolí",Kraslice,120.4,OHL_0280_H0
321280_POD,167.406,Statek Zeos Sadov - Stráň,Sadov,15.058,OHL_0500
321282_POD,7.718999999999999,"Vodovod Sedlečko - Šemnice, Sedlečko",Šemnice,3.008,OHL_0500
321283_POD,1.8599999999999999,Vodovod Nová Kyselka,Kyselka,1.472,OHL_0500
321370_POD,41.722,Agrokombinát Palič,Lipová,,OHL_0185_J
321390_POV,4488.9220000000005,Povodí Ohře - z VD Podhora do VD M. Lázně,Ovesné Kladruby,,OHL_0390
321500_POD,1373.762,Město  Rotava - Lesní - prameniště,Stříbrná,27.2,OHL_0290
321500_POV,3230.137,Město  Rotava,Stříbrná,94.313,OHL_0290
321501_POD,40.253,Město Rotava - vrt pro ÚV,Stříbrná,12.2,OHL_0290
321520_POV,45.342,Amati Kraslice 110,Kraslice,,OHL_0280
321530_POD,1515.718,"Město Nejdek - Vysoká Pec, Nejdek",Nejdek,36.654,OHL_0350
321530_POV,99.168,Město Nejdek Vysoká Pec - ÚV,Nejdek,5.046,OHL_0350
321540_POD,3690.222,Město Nejdek - Limnice,Nejdek,117.558,OHL_0370
321540_POV,3087.485,Město Nejdek- ÚV Vysoká Pec,Vysoká Pec,166.553,OHL_0350
321550_POD,1219.72,"Nejdecká česárna vlny- VS1, VS2",Nejdek,,OHL_0360
321640_POD,476.975,"Pitná voda Mnichov - HV 37, 39, 40, 41",Mnichov,,OHL_0400
321650_POD,2481.2,KMS  Bublava,Bublava,99.7,OHL_0280
321690_POV,3533.012,KMS Kraslice - ÚV Stříbrná,Kraslice,75.421,OHL_0280
321750_POD,109.56099999999999,Obec Kaceřov-Horní Pochlovice,Chlum Svaté Maří,6.889,OHL_0240
321930_POD,64.804,"Domov """"""""PRAMEN"""""""" Mnichov",Mnichov,,OHL_0400
322030_POD,331.48900000000003,Obec Lipová,Lipová,19.076,OHL_0185_J
322070_POD,141.303,Obec Dolní Nivy,Jindřichovice,9.033,OHL_0340
322080_POD,61.576,Obec Šindelová - Krásná  Lípa,Šindelová,8.131,OHL_0290
322081_POD,104.059,Obec Šindelová- Obora,Šindelová,9.428,OHL_0290
322180_POD,27.709,Obec Milíkov prameniště,Milíkov,7.089,OHL_0190
322250_POD,66.959,Ing. Alois Vörös - Dolní Hraničná - S5,Cheb,13.815,OHL_0080
322780_POD,209.179,Krásno - VK-4,Krásno,48.42,OHL_0330
322850_POD,31.358,Zámek Lužec u Nejdku,Nejdek,16.0,OHL_0470
370053_POD,0.195,VOSS Lobzy,Březová,0.195,OHL_0310
370075_POD,3.065,Obec Dolní Nivy,Dolní Nivy,3.065,OHL_0340
370077_POD,4.192,Obec Dolní Nivy -Horní Rozmyšl,Dolní Nivy,4.192,OHL_0340
370196_POD,0.885,Casina Admirál Svatý Kříž - Háje u Chebu,Cheb,0.885,OHL_0160_H0
370203_POD,0.447,CHEVAK - vodní zdroj Těšov,Milíkov,0.447,OHL_0190
370289_POD,1.032,VOSS Hrušková,Sokolov,1.032,OHL_0380
370290_POD,2.035,VOSS Jindřichovice U Bartošů,Jindřichovice,2.035,OHL_0340
